,s_id,q_id,run0,rerun,mined,p0,p_mined,residual,W,std.resid^2
166,1,34,1.0,1,1,1.0,1.0,0.0,0.0,0.0
167,1,18,1.0,1,0,1.0,0.0,-1.0,0.0,1.0
168,1,16,0.0,0,0,0.0,0.0,0.0,0.0,0.0
169,1,98,1.0,1,1,1.0,1.0,0.0,0.0,0.0
170,1,24,1.0,1,1,1.0,1.0,0.0,0.0,0.0
171,1,42,1.0,1,1,1.0,1.0,0.0,0.0,0.0
172,1,25,1.0,1,1,1.0,1.0,0.0,0.0,0.0
173,1,22,1.0,1,1,1.0,1.0,0.0,0.0,0.0
174,1,52,1.0,1,1,1.0,1.0,0.0,0.0,0.0
175,1,61,1.0,1,1,1.0,1.0,0.0,0.0,0.0
176,1,82,1.0,1,1,1.0,1.0,0.0,0.0,0.0
177,1,41,1.0,1,1,1.0,1.0,0.0,0.0,0.0
178,1,88,1.0,1,1,1.0,1.0,0.0,0.0,0.0
179,1,51,1.0,1,0,1.0,0.0,-1.0,0.0,1.0
180,1,27,1.0,1,1,1.0,1.0,0.0,0.0,0.0
181,1,64,1.0,1,1,1.0,1.0,0.0,0.0,0.0
182,1,63,0.0,0,0,0.0,0.0,0.0,0.0,0.0
183,1,72,1.0,1,1,1.0,1.0,0.0,0.0,0.0
184,1,92,1.0,1,1,1.0,1.0,0.0,0.0,0.0
185,1,53,1.0,1,1,1.0,1.0,0.0,0.0,0.0
186,1,67,1.0,1,1,1.0,1.0,0.0,0.0,0.0
187,1,49,1.0,1,0,1.0,0.0,-1.0,0.0,1.0
188,1,7,1.0,1,1,1.0,1.0,0.0,0.0,0.0
189,1,81,1.0,1,1,1.0,1.0,0.0,0.0,0.0
190,1,58,0.0,0,0,0.0,0.0,0.0,0.0,0.0
191,1,74,1.0,1,1,1.0,1.0,0.0,0.0,0.0
192,1,26,1.0,1,1,1.0,1.0,0.0,0.0,0.0
193,1,0,1.0,1,1,1.0,1.0,0.0,0.0,0.0
194,1,3,1.0,1,1,1.0,1.0,0.0,0.0,0.0
195,1,29,1.0,1,1,1.0,1.0,0.0,0.0,0.0
196,1,8,1.0,1,1,1.0,1.0,0.0,0.0,0.0
197,1,48,1.0,1,1,1.0,1.0,0.0,0.0,0.0
198,1,2,1.0,1,1,1.0,1.0,0.0,0.0,0.0
199,1,9,1.0,1,1,1.0,1.0,0.0,0.0,0.0
200,2,36,1.0,1,1,1.0,1.0,0.0,0.0,0.0
201,2,83,1.0,1,0,1.0,0.0,-1.0,0.0,1.0
202,2,90,1.0,1,0,1.0,0.0,-1.0,0.0,1.0
203,2,7,0.0,0,0,0.0,0.0,0.0,0.0,0.0
204,2,2,1.0,1,0,1.0,0.0,-1.0,0.0,1.0
205,2,86,1.0,1,1,1.0,1.0,0.0,0.0,0.0
206,2,29,1.0,1,1,1.0,1.0,0.0,0.0,0.0
207,2,68,1.0,1,1,1.0,1.0,0.0,0.0,0.0
208,2,73,1.0,1,1,1.0,1.0,0.0,0.0,0.0
209,2,96,1.0,1,0,1.0,0.0,-1.0,0.0,1.0
210,2,57,1.0,1,1,1.0,1.0,0.0,0.0,0.0
211,2,30,1.0,1,1,1.0,1.0,0.0,0.0,0.0
212,2,60,1.0,1,1,1.0,1.0,0.0,0.0,0.0
213,2,43,1.0,1,1,1.0,1.0,0.0,0.0,0.0
214,2,92,1.0,1,1,1.0,1.0,0.0,0.0,0.0
215,2,79,0.0,0,0,0.0,0.0,0.0,0.0,0.0
216,2,65,1.0,1,1,1.0,1.0,0.0,0.0,0.0
217,2,34,1.0,1,1,1.0,1.0,0.0,0.0,0.0
218,2,31,1.0,1,1,1.0,1.0,0.0,0.0,0.0
219,2,71,1.0,1,1,1.0,1.0,0.0,0.0,0.0
220,2,67,1.0,1,1,1.0,1.0,0.0,0.0,0.0
221,2,97,1.0,1,1,1.0,1.0,0.0,0.0,0.0
222,2,66,1.0,1,1,1.0,1.0,0.0,0.0,0.0
223,2,32,1.0,1,1,1.0,1.0,0.0,0.0,0.0
224,2,13,1.0,1,1,1.0,1.0,0.0,0.0,0.0
225,2,45,0.0,0,1,0.0,1.0,1.0,0.0,1.0
226,2,59,1.0,1,1,1.0,1.0,0.0,0.0,0.0
227,2,81,1.0,1,1,1.0,1.0,0.0,0.0,0.0
228,2,28,1.0,1,1,1.0,1.0,0.0,0.0,0.0
229,2,89,1.0,1,0,1.0,0.0,-1.0,0.0,1.0
230,2,1,1.0,1,1,1.0,1.0,0.0,0.0,0.0
231,2,84,1.0,1,1,1.0,1.0,0.0,0.0,0.0
232,2,64,1.0,1,1,1.0,1.0,0.0,0.0,0.0
233,2,63,1.0,1,0,1.0,0.0,-1.0,0.0,1.0
234,2,98,0.0,0,1,0.0,1.0,1.0,0.0,1.0
235,2,10,1.0,1,1,1.0,1.0,0.0,0.0,0.0
236,2,8,1.0,1,1,1.0,1.0,0.0,0.0,0.0
237,2,44,1.0,1,1,1.0,1.0,0.0,0.0,0.0
238,2,76,1.0,1,1,1.0,1.0,0.0,0.0,0.0
239,2,50,1.0,1,1,1.0,1.0,0.0,0.0,0.0
240,2,62,1.0,1,1,1.0,1.0,0.0,0.0,0.0
241,2,41,1.0,1,1,1.0,1.0,0.0,0.0,0.0
242,2,17,1.0,1,1,1.0,1.0,0.0,0.0,0.0
243,2,46,1.0,1,1,1.0,1.0,0.0,0.0,0.0
244,2,91,1.0,1,0,1.0,0.0,-1.0,0.0,1.0
245,2,69,1.0,1,1,1.0,1.0,0.0,0.0,0.0
